ABC-123,100,80.0,kártya
XYZ-987,1,0.8,készpénz
QWE-456,99,79.2,utalás
LMN-222,2,1.6,csekk
AAA-111,98,78.4,kártya
BBB-222,3,2.4,-
CCC-333,97,77.6,kártya
DDD-444,4,3.2,készpénz
EEE-555,96,76.8,utalás
FFF-666,5,4.0,csekk
GGG-777,95,76.0,kártya
HHH-888,6,4.8,készpénz
III-999,94,75.2,utalás
ABC-123,7,5.6,csekk
XYZ-987,93,74.4,kártya
QWE-456,8,6.4,-
LMN-222,92,73.6,kártya
AAA-111,9,7.2,készpénz
BBB-222,91,72.8,utalás
CCC-333,10,8.0,csekk
DDD-444,90,72.0,kártya
EEE-555,11,8.8,kártya
FFF-666,89,71.2,készpénz
GGG-777,12,9.6,utalás
HHH-888,88,70.4,csekk
III-999,13,10.4,kártya
ABC-123,87,69.6,készpénz
XYZ-987,14,11.2,utalás
QWE-456,86,68.8,csekk
LMN-222,15,12.0,kártya
AAA-111,85,68.0,-
BBB-222,16,12.8,kártya
CCC-333,84,67.2,készpénz
DDD-444,17,13.6,utalás
EEE-555,83,66.4,csekk
FFF-666,18,14.4,kártya
GGG-777,82,65.6,kártya
HHH-888,19,15.2,készpénz
III-999,81,64.8,utalás
ABC-123,20,16.0,csekk
XYZ-987,80,64.0,kártya
QWE-456,21,16.8,-
LMN-222,79,63.2,kártya
AAA-111,22,17.6,készpénz
BBB-222,78,62.4,utalás
CCC-333,23,18.4,csekk
DDD-444,77,61.6,kártya
EEE-555,24,19.2,kártya
FFF-666,76,60.8,készpénz
GGG-777,25,20.0,utalás
HHH-888,75,60.0,csekk
III-999,26,20.8,kártya
ABC-123,74,59.2,készpénz
XYZ-987,27,21.6,utalás
QWE-456,73,58.4,csekk
LMN-222,28,22.4,kártya
AAA-111,72,57.6,-
BBB-222,29,23.2,kártya
CCC-333,71,56.8,készpénz
DDD-444,30,24.0,utalás
EEE-555,70,56.0,csekk
FFF-666,31,24.8,kártya
GGG-777,69,55.2,kártya
HHH-888,32,25.6,készpénz
III-999,68,54.4,utalás
ABC-123,33,26.4,csekk
XYZ-987,67,53.6,kártya
QWE-456,34,27.2,-
LMN-222,66,52.8,kártya
AAA-111,35,28.0,készpénz
BBB-222,65,52.0,utalás
CCC-333,36,28.8,csekk
DDD-444,64,51.2,kártya
EEE-555,37,29.6,kártya
FFF-666,63,50.4,készpénz
GGG-777,38,30.4,utalás
HHH-888,62,49.6,csekk
III-999,39,31.2,kártya
ABC-123,61,48.8,készpénz
XYZ-987,40,32.0,utalás
QWE-456,60,48.0,csekk
LMN-222,41,32.8,kártya
AAA-111,59,47.2,-
BBB-222,42,33.6,kártya
CCC-333,58,46.4,készpénz
DDD-444,43,34.4,utalás
EEE-555,57,45.6,csekk
FFF-666,44,35.2,kártya
GGG-777,56,44.8,kártya
HHH-888,45,36.0,készpénz
III-999,55,44.0,utalás
ABC-123,46,36.8,csekk
XYZ-987,54,43.2,kártya
QWE-456,47,37.6,-
LMN-222,53,42.4,kártya
AAA-111,48,38.4,készpénz
BBB-222,52,41.6,utalás
CCC-333,49,39.2,csekk
DDD-444,51,40.8,kártya
EEE-555,50,40.0,kártya
